winner,pass_stat_f1,pass_stat_f2,str_stat_f1,str_stat_f2,sub_stat_f1,sub_stat_f2,td_stat_f1,td_stat_f2
Keita Nakamura,0,0,41,34,0,0,0,0
Kai Kara-France,5,0,86,16,0,2,0,1
Christos Giagos,0,2,31,19,0,1,5,0
Damir Ismagulov,4,0,34,10,0,0,5,0
Royce Gracie,2,0,1,0,1,0,1,0
Jason DeLucia,1,0,3,1,1,0,1,0
Royce Gracie,2,0,0,0,1,0,0,0
Gerard Gordeau,0,0,11,0,0,0,0,0
Ken Shamrock,0,0,1,4,2,0,1,0
Royce Gracie,2,0,0,0,0,0,1,0
Kevin Rosier,0,0,15,12,0,0,0,0
Gerard Gordeau,0,0,3,0,0,0,0,0
Royce Gracie,0,0,0,4,3,0,0,1
Dan Severn,2,0,0,1,1,0,1,0
Royce Gracie,0,0,11,4,3,0,0,0
Dan Severn,1,0,0,8,1,0,2,0
Steve Jennum,2,0,13,1,1,0,2,0
Keith Hackney,1,1,8,0,1,1,0,1
Royce Gracie,3,0,7,0,1,0,1,0
Guy Mezger,2,0,19,9,0,0,1,0
Oleg Taktarov,1,1,4,17,4,1,0,2
Ken Shamrock,0,0,2,2,2,0,0,0
Oleg Taktarov,1,0,0,0,1,0,0,0
David Abbott,1,0,14,1,0,0,1,0
Oleg Taktarov,0,0,0,5,1,0,0,1
Patrick Smith,1,0,6,0,1,0,2,0
Paul Varelans,0,0,8,9,0,0,0,0
David Abbott,0,0,7,0,0,0,0,0
Marco Ruas,1,0,33,10,0,1,0,0
Ken Shamrock,1,0,29,4,1,0,1,0
Marco Ruas,2,0,4,2,2,2,0,1
Paul Varelans,2,0,2,2,2,0,1,0
Dan Severn,1,0,2,2,1,0,1,0
Marco Ruas,1,0,1,6,3,1,1,0
Remco Pardoel,2,0,0,0,1,0,1,0
Mark Hall,0,0,1,4,0,0,0,1
Ken Shamrock,0,0,10,3,0,0,1,0
Dan Severn,1,0,9,0,0,0,1,0
Dave Beneteau,2,0,8,0,0,0,1,0
Dan Severn,2,0,2,1,1,0,1,0
Paul Varelans,3,0,4,0,0,0,1,0
Scott Bessac,0,0,1,2,2,0,0,0
Dan Severn,5,0,24,8,0,1,0,0
Oleg Taktarov,0,0,6,14,1,0,0,0
Oleg Taktarov,1,0,0,2,1,0,0,0
Todd Medina,1,0,4,1,1,0,1,0
Jon Hess,0,0,17,2,0,0,0,0
Dan Severn,0,0,57,3,0,0,1,0
Oleg Taktarov,0,0,0,2,2,0,0,0
Marco Ruas,1,0,7,1,1,0,1,0
Dan Severn,1,0,0,1,2,0,1,0
David Abbott,1,0,1,0,1,0,1,0
Don Frye,1,0,12,2,0,0,0,1
Ken Shamrock,2,1,0,4,2,0,1,0
Gary Goodridge,1,2,3,1,1,0,1,0
Don Frye,1,0,5,0,0,0,1,0
Gary Goodridge,0,0,8,0,0,0,1,0
Jerry Bohlander,0,0,7,9,1,1,0,2
Paul Varelans,0,0,9,12,0,0,0,0
Don Frye,0,0,3,1,0,0,0,0
Dan Severn,0,1,16,18,0,0,0,0
Don Frye,2,0,46,2,0,0,1,0
Mark Hall,0,1,3,1,0,0,0,1
Mark Schultz,5,0,8,1,0,0,3,0
Rafael Carino,3,0,8,0,0,0,1,0
Cal Worsham,1,0,9,1,0,0,1,0
Steve Nelmark,4,0,13,4,1,0,2,0
Scott Ferrozzo,0,0,60,21,0,0,0,0
Mark Coleman,1,0,9,3,0,0,1,0
Jerry Bohlander,0,1,18,2,0,1,1,1
David Abbott,1,0,8,0,1,0,1,0
Brian Johnston,2,0,6,0,0,0,1,0
Mark Coleman,0,0,7,0,2,0,1,0
Mark Coleman,6,0,34,1,2,0,3,0
Mark Coleman,2,0,33,3,0,0,2,0
Don Frye,2,1,11,11,0,0,1,0
Mark Coleman,1,0,4,2,2,0,0,0
Gary Goodridge,1,0,5,5,0,0,0,0
Mark Coleman,1,0,25,0,0,0,1,0
Vitor Belfort,0,0,9,0,0,0,0,0
Jerry Bohlander,0,0,2,0,1,0,1,0
Vitor Belfort,1,0,17,1,0,0,0,0
Brian Johnston,2,1,2,3,1,0,1,0
Don Frye,2,0,27,2,0,0,1,0
Don Frye,1,0,6,13,2,0,0,0
David Abbott,1,0,9,2,0,0,1,0
Don Frye,0,0,0,0,1,0,0,0
Scott Ferrozzo,1,0,30,3,1,0,2,0
Yoshiki Takahashi,0,0,20,1,0,0,1,1
Jerry Bohlander,4,0,0,0,1,0,1,0
Ken Shamrock,0,0,22,1,1,0,1,0
Kimo Leopoldo,0,1,9,21,0,0,0,0
David Abbott,1,0,4,5,1,0,0,0
Don Frye,0,1,16,14,0,0,0,1
Vitor Belfort,0,0,15,2,0,0,1,0
Randy Couture,4,0,16,0,0,0,1,0
Guy Mezger,0,0,0,5,1,0,0,1
Randy Couture,2,0,1,0,1,0,1,0
Steven Graham,2,0,0,1,1,0,1,0
Enson Inoue,0,1,0,3,1,0,0,0
Guy Mezger,3,0,35,3,0,1,0,0
Jack Nilson,3,0,11,1,0,1,0,0
Tito Ortiz,1,0,21,0,0,0,1,0
Maurice Smith,0,9,55,19,0,2,0,2
Mark Kerr,1,0,3,0,0,0,1,0
Kevin Jackson,1,0,2,0,1,0,1,0
Dan Bobish,1,0,9,6,1,0,1,0
Mark Kerr,1,0,14,1,0,0,1,0
Kevin Jackson,1,0,3,1,0,0,1,0
Joe Moreira,7,0,7,1,0,0,3,0
Alex Hunter,3,0,7,1,0,0,1,0
Tony Fryklund,2,0,5,0,1,0,1,0
Maurice Smith,0,3,12,5,1,0,0,0
Mark Kerr,3,0,5,0,1,0,1,0
Randy Couture,2,0,34,6,1,0,1,0
Dave Beneteau,0,1,13,11,0,0,3,2
Mark Kerr,0,0,1,0,0,0,0,0
Dwayne Cason,0,0,11,1,0,0,1,0
Alex Hunter,3,0,11,12,0,4,1,1
Randy Couture,7,0,19,9,1,0,3,0
Kazushi Sakuraba,1,0,1,1,2,1,1,1
Vitor Belfort,5,0,0,1,3,0,2,0
Frank Shamrock,0,0,1,2,1,0,0,1
Kazushi Sakuraba,0,0,0,4,0,1,0,1
David Abbott,1,0,13,9,0,1,3,0
Tra Telligman,0,2,6,12,1,0,0,3
Frank Shamrock,0,0,2,0,0,0,1,0
Tsuyoshi Kohsaka,0,5,45,13,0,2,0,2
Pat Miletich,1,1,6,2,1,1,0,1
Jerry Bohlander,0,4,5,18,2,0,0,2
Pat Miletich,2,0,18,13,1,0,0,2
Mikey Burnett,0,0,42,6,1,0,1,0
Frank Shamrock,0,6,20,14,3,0,0,5
Pete Williams,0,1,22,26,1,0,0,3
Dan Henderson,1,1,28,20,0,1,3,2
David Abbott,0,1,11,0,0,0,0,1
Mike van Arsdale,5,0,27,4,1,1,1,0
Carlos Newton,2,0,1,0,3,0,1,0
Frank Shamrock,1,3,23,4,4,1,0,3
Vitor Belfort,0,0,7,1,0,0,0,0
Dan Henderson,0,0,31,36,1,0,1,0
Pedro Rizzo,0,0,24,16,0,0,0,1
Pat Miletich,0,0,19,24,0,2,1,2
Tsuyoshi Kohsaka,8,2,14,13,5,0,3,0
Ebenezer Fontes Braga,0,0,9,3,1,0,1,0
Bas Rutten,0,2,31,23,0,0,0,3
Pat Miletich,0,1,27,19,0,1,3,1
Pedro Rizzo,0,0,16,25,0,0,0,2
Tito Ortiz,4,0,37,9,0,0,6,0
Mikey Burnett,0,0,42,34,1,0,0,0
Evan Tanner,1,2,24,4,4,0,1,1
Laverne Clark,3,0,15,0,0,1,2,0
Tito Ortiz,2,0,26,2,0,3,2,0
Gary Goodridge,0,0,8,2,0,0,0,0
Jeremy Horn,2,1,8,12,3,0,3,0
Kevin Randleman,5,0,17,9,0,2,4,0
Evan Tanner,2,0,23,2,1,0,1,0
Pete Williams,1,0,3,2,1,0,1,0
Sione Latu,2,1,9,17,0,2,1,1
Frank Shamrock,0,2,31,20,1,0,0,8
