winner,pass_stat_f1,pass_stat_f2,str_stat_f1,str_stat_f2,sub_stat_f1,sub_stat_f2,td_stat_f1,td_stat_f2
Joe Stevenson,13,1,20,20,2,1,5,1
Kenny Florian,4,0,10,8,2,0,3,0
Joshua Burkman,0,0,4,1,0,0,1,0
Melvin Guillard,3,0,19,3,1,0,3,0
Keith Jardine,0,0,41,8,0,0,0,0
Rich Franklin,0,0,13,4,0,0,0,0
Gabriel Gonzaga,7,0,23,18,2,0,2,0
Matt Hughes,1,0,8,1,2,0,1,0
Georges St-Pierre,1,0,58,20,0,0,3,0
Jeremy Horn,0,3,38,38,1,0,0,7
Sam Hoger,5,0,10,2,2,4,3,0
Thiago Alves,2,1,8,2,0,2,1,0
Nick Thompson,7,3,48,14,3,0,1,3
Tim Sylvia,0,0,85,36,0,0,0,0
Stephan Bonnar,3,0,2,5,2,0,2,0
Joshua Burkman,0,0,7,2,1,0,0,0
Chris Leben,1,0,10,5,0,0,1,0
Josh Neer,1,0,3,11,2,0,1,2
Duane Ludwig,0,0,1,0,0,0,0,0
Spencer Fisher,0,1,25,9,0,0,0,2
Jason Von Flue,1,1,28,18,2,3,0,1
Chuck Liddell,0,0,19,7,0,0,0,1
Brandon Vera,0,0,7,4,0,0,0,0
Marcio Cruz,1,0,31,3,0,0,1,1
Renato Sobral,1,1,9,1,1,0,0,0
Joe Riggs,0,0,51,38,0,1,3,0
Alessio Sakara,3,0,70,13,0,0,9,0
Paul Buentello,1,0,49,28,1,0,1,0
Jeff Monson,2,1,10,5,1,1,1,0
Keith Jardine,0,3,44,27,0,0,0,5
Rich Franklin,8,0,127,21,0,0,5,1
Mike Swick,0,0,13,6,1,0,0,0
Georges St-Pierre,0,0,59,37,0,1,4,1
Nate Marquardt,6,2,56,26,2,0,5,2
Mark Hominick,0,0,22,20,1,0,0,1
Sam Stout,1,4,62,53,0,3,0,4
Jason Lambert,1,0,7,3,1,0,1,0
Tom Murphy,2,0,30,2,2,0,6,0
Stephan Bonnar,1,0,33,64,1,0,1,0
Rashad Evans,0,0,23,18,0,2,9,0
Tim Sylvia,0,0,97,66,0,0,0,0
Joshua Burkman,1,0,35,19,0,1,4,1
Josh Neer,1,2,46,31,0,3,0,2
Chris Leben,6,0,36,20,0,0,5,0
Luke Cummo,2,2,43,17,3,1,3,2
Tim Sylvia,0,0,13,11,0,0,0,0
Sean Sherk,0,0,39,57,0,3,2,1
Tito Ortiz,0,0,11,0,0,0,1,0
Frank Mir,4,0,53,48,0,1,3,0
Joe Stevenson,1,0,28,18,1,2,3,0
Hermes Franca,2,0,46,20,1,0,3,0
Jon Fitch,3,0,25,20,1,1,3,1
Dan Christison,1,0,73,58,1,0,0,2
Josh Koscheck,7,0,2,2,1,1,2,0
Chael Sonnen,3,1,25,7,0,2,7,0
Tito Ortiz,2,0,61,58,0,0,3,0
Evan Tanner,1,0,10,2,2,1,1,0
Jeff Monson,1,0,32,40,0,0,2,0
Karo Parisyan,7,0,18,2,0,0,2,1
Jeff Monson,0,0,18,8,0,0,0,0
Cheick Kongo,0,2,24,6,0,0,1,2
Drew Fickett,1,3,18,25,2,0,1,5
David Terrell,1,0,10,3,2,0,1,0
Jason Lambert,1,1,31,15,0,0,0,1
Thiago Alves,0,0,11,18,0,0,0,0
Diego Sanchez,6,1,66,36,1,0,3,9
Chris Leben,1,1,9,6,0,0,1,1
Dean Lister,4,0,24,26,2,0,5,0
Josh Koscheck,2,0,23,1,1,0,1,0
Martin Kampmann,3,0,19,1,1,0,1,0
Joe Riggs,2,0,1,0,1,0,1,0
Jake O'Brien,0,0,25,2,0,0,3,0
Forrest Petz,3,0,45,8,0,1,6,0
Anthony Torres,1,0,11,13,1,0,0,0
Anderson Silva,0,0,31,10,0,0,0,0
Sean Sherk,15,0,60,23,1,4,8,0
Jon Fitch,1,0,44,4,0,2,5,0
Carmelo Marrero,5,2,16,18,0,2,6,0
Spencer Fisher,0,1,13,8,0,0,0,2
Chuck Liddell,0,0,17,1,0,0,0,0
Forrest Griffin,0,0,83,41,0,0,0,0
Nick Diaz,1,0,75,25,1,0,3,0
Cheick Kongo,0,2,17,0,0,1,0,1
Yushin Okami,3,0,39,19,1,1,3,0
Clay Guida,2,0,26,13,2,1,2,0
Kurt Pellegrino,2,0,5,1,1,0,1,0
Hermes Franca,0,4,22,18,3,0,1,9
Eric Schafer,3,0,7,2,2,0,0,0
Wilson Gouveia,2,0,9,10,1,0,1,0
David Heath,2,0,3,2,3,0,1,0
Yushin Okami,8,0,12,8,0,0,5,0
Matt Serra,1,0,20,42,0,0,1,1
Travis Lutter,3,0,0,0,1,0,1,0
Din Thomas,2,0,33,22,1,0,1,1
Jorge Rivera,0,0,24,6,0,0,0,0
Pete Spratt,0,2,12,5,0,0,0,2
Scott Smith,0,0,26,32,0,0,0,0
Charles McCarthy,1,0,2,9,1,0,1,0
Martin Kampmann,0,1,101,46,0,0,0,1
Matt Hughes,2,1,35,17,0,2,1,0
Mike Swick,4,1,32,36,0,0,3,1
Melvin Guillard,0,3,20,7,0,0,3,2
Rashad Evans,6,0,25,6,0,3,8,0
Joe Lauzon,0,0,9,0,0,0,1,0
Roger Huerta,7,0,71,38,0,3,6,0
Eddie Sanchez,0,1,10,10,0,0,0,1
Jorge Gurgel,0,0,58,56,1,0,1,0
Tyson Griffin,1,0,0,1,1,0,1,0
Georges St-Pierre,1,0,45,10,0,0,1,0
Tim Sylvia,1,2,49,12,1,2,0,1
Drew McFedries,1,0,30,32,0,0,1,0
Brandon Vera,1,0,15,2,0,0,0,0
Joe Stevenson,0,1,1,1,3,0,0,1
Nick Diaz,1,0,24,0,1,1,0,0
Antoni Hardonk,0,2,10,4,0,0,0,1
James Irvin,0,3,17,33,0,1,0,3
Jake O'Brien,2,0,13,13,0,0,10,0
Rashad Evans,0,2,13,10,0,0,0,2
Jake O'Brien,17,0,13,11,1,1,6,1
Hermes Franca,3,0,25,24,2,0,2,0
Nate Marquardt,4,0,53,18,0,0,2,0
Joshua Burkman,4,1,27,6,0,2,9,1
Ed Herman,1,0,5,5,1,1,1,0
Din Thomas,0,2,33,33,1,0,0,5
Rich Clementi,4,0,23,23,1,0,1,0
Diego Sanchez,0,0,6,3,0,0,0,0
Josh Koscheck,2,0,14,18,1,1,6,0
Karo Parisyan,5,0,56,47,0,0,3,1
Anderson Silva,0,2,9,8,2,0,0,3
Marcus Davis,2,0,54,27,2,0,1,0
David Heath,0,1,44,66,0,0,0,1
Alan Belcher,0,2,29,14,2,3,1,0
Luigi Fioravanti,0,0,23,8,0,2,1,0
Mirko Cro Cop,2,0,20,5,0,0,0,0
Roger Huerta,1,0,13,1,0,0,1,0
Rampage Jackson,0,0,45,15,0,0,0,0
Patrick Cote,0,0,50,34,0,0,1,0
Brock Larson,2,0,22,16,0,1,5,0
Logan Clark,4,2,40,18,2,4,0,3
Terry Martin,0,0,4,1,0,0,0,0
Frankie Edgar,6,0,55,38,0,4,8,3
Lyoto Machida,13,1,62,11,0,0,4,1
Dustin Hazelett,0,5,44,14,1,0,1,4
Chuck Liddell,0,0,49,21,0,0,0,1
Keith Jardine,0,0,36,17,0,0,0,0
Jason MacDonald,1,2,9,15,1,0,1,2
Andrei Arlovski,1,0,7,0,1,2,0,0
Michael Bisping,0,3,19,3,0,2,0,3
Thiago Alves,3,0,26,1,1,0,0,0
Gabriel Gonzaga,4,0,4,1,3,0,1,0
Yushin Okami,8,0,35,28,0,0,3,0
Christian Wellisch,1,0,61,48,0,0,1,3
Randy Couture,7,0,73,25,0,0,7,0
Martin Kampmann,1,0,15,16,1,0,1,0
Rich Franklin,4,0,49,16,0,0,1,1
Joe Stevenson,0,0,2,1,1,0,1,0
Matt Hughes,8,1,13,5,3,3,2,0
Jason Lambert,2,2,19,5,0,1,2,1
Justin McCully,1,0,21,26,0,1,3,0
Kenny Florian,6,0,38,6,1,2,1,1
Matt Hamill,2,0,29,11,0,0,0,0
Jon Fitch,4,0,19,14,2,0,2,0
Gabriel Gonzaga,0,0,19,1,0,0,1,0
Andrei Arlovski,0,0,28,23,0,0,0,0
Wilson Gouveia,1,0,17,8,1,0,1,1
Drew Fickett,1,0,79,32,0,0,2,2
Kurt Pellegrino,4,0,4,6,1,0,1,0
Kuniyoshi Hironaka,10,0,26,7,1,0,5,0
Gleison Tibau,8,0,36,12,1,0,5,0
Jamie Varner,1,0,7,0,2,0,1,0
Michael Bisping,0,2,36,8,0,2,1,0
Lyoto Machida,4,0,67,8,1,0,0,0
Cheick Kongo,0,5,64,13,1,0,0,6
Terry Etim,0,0,5,26,3,0,0,1
Roan Carneiro,8,0,22,9,4,0,7,0
Thiago Tavares,7,2,21,12,2,1,4,1
Junior Assuncao,3,0,29,12,2,0,0,0
Alessio Sakara,0,0,6,0,0,0,0,0
Jess Liaudin,0,1,1,2,1,0,0,1
Paul Taylor,0,0,78,46,0,0,0,0
Rampage Jackson,0,0,6,4,0,0,0,0
Karo Parisyan,0,0,54,16,0,0,2,2
Terry Martin,0,0,7,5,0,0,1,0
Houston Alexander,0,0,17,5,0,0,0,0
Kalib Starnes,1,1,47,44,0,0,2,0
Thiago Silva,1,0,1,3,0,1,1,0
Alan Belcher,0,0,0,1,1,0,0,0
Din Thomas,3,0,10,7,2,0,1,0
Wilson Gouveia,2,0,18,1,1,0,0,0
Matt Serra,1,0,20,6,0,0,0,0
Josh Koscheck,0,0,30,12,0,0,1,0
Roger Huerta,8,1,85,29,0,2,6,0
Yushin Okami,5,1,28,28,2,0,4,0
Kendall Grove,3,1,41,8,2,0,1,1
Heath Herring,3,1,64,19,0,2,1,1
Thales Leites,11,1,56,3,4,2,3,0
Marcus Davis,5,0,6,7,1,0,3,0
Luke Cummo,0,0,38,9,0,0,0,1
Rich Franklin,1,2,36,17,0,3,1,1
Forrest Griffin,0,1,113,20,0,0,0,2
Jason MacDonald,2,2,30,17,0,1,2,1
Spencer Fisher,0,0,88,76,0,0,0,0
Tyson Griffin,0,4,50,36,2,2,2,4
Ed Herman,1,0,24,3,2,2,3,0
Jon Fitch,1,0,18,4,1,1,0,2
Drew McFedries,0,0,6,1,0,0,0,0
Marcus Davis,0,0,9,6,0,0,0,0
Eddie Sanchez,4,2,41,36,0,2,1,1
Thiago Tavares,6,2,11,0,2,2,2,0
Forrest Petz,0,0,40,45,0,0,0,0
Dustin Hazelett,0,0,20,7,1,0,0,0
Tamdan McCrory,2,5,8,19,2,0,2,0
Gleison Tibau,2,0,3,0,1,0,0,1
Anthony Johnson,0,0,3,2,0,0,0,0
Nate Mohr,0,0,70,28,0,0,0,0
Kenny Florian,6,0,20,6,0,0,3,1
Anderson Silva,0,1,10,3,0,0,1,1
Rashad Evans,1,0,19,24,0,1,2,3
Sean Sherk,20,0,35,6,2,3,16,0
Minotauro Nogueira,7,0,55,31,2,0,4,0
Stephan Bonnar,2,0,2,2,2,0,0,1
Jorge Gurgel,0,0,67,49,0,0,0,0
Chris Lytle,3,0,5,3,5,0,1,0
Frankie Edgar,2,0,31,6,0,0,0,0
Randy Couture,1,0,63,11,0,1,3,0
Georges St-Pierre,3,0,38,4,5,0,2,1
Roger Huerta,5,3,26,4,0,3,0,0
Joe Stevenson,0,2,42,27,3,1,3,3
Patrick Cote,3,0,20,12,1,0,0,0
Renato Sobral,1,0,60,6,3,0,1,0
Frank Mir,2,0,4,1,1,0,1,0
Thales Leites,1,0,10,11,2,1,3,0
Clay Guida,0,0,44,40,0,0,0,0
Kenny Florian,1,0,27,3,1,0,2,0
Chris Leben,0,1,53,45,1,0,0,4
Nate Diaz,0,1,10,7,3,0,1,1
Nate Quarry,0,0,64,53,0,0,0,2
Rampage Jackson,7,3,74,60,0,3,2,3
Luke Cummo,0,0,6,5,0,0,0,0
Cole Miller,11,0,21,16,10,0,1,0
Michael Bisping,0,4,47,56,0,0,0,6
Cheick Kongo,1,2,63,15,0,0,1,1
Marcus Davis,3,2,24,16,1,0,1,0
Gray Maynard,0,0,3,0,0,0,0,0
Thiago Alves,1,1,48,15,0,0,0,2
Houston Alexander,0,0,18,1,0,0,0,1
Gleison Tibau,7,0,14,18,0,0,7,0
Thiago Silva,0,0,48,43,1,0,0,1
Dustin Hazelett,0,1,3,0,2,0,0,1
Dennis Siver,1,0,28,9,0,2,0,0
Jess Liaudin,0,0,38,13,0,0,0,0
Keith Jardine,0,0,83,31,0,0,0,0
Forrest Griffin,5,0,66,27,3,0,2,5
Jon Fitch,2,0,25,11,0,5,3,2
Lyoto Machida,9,1,70,15,1,0,2,2
Tyson Griffin,0,6,29,6,1,4,2,4
Rich Clementi,2,1,12,22,2,3,1,1
Jeremy Stephens,0,4,50,11,0,2,2,0
Christian Wellisch,0,0,6,17,2,0,1,0
Matt Wiman,5,0,59,33,0,1,4,1
Anderson Silva,0,0,39,22,0,0,0,1
Tim Sylvia,0,1,68,58,0,0,0,1
Alvin Robinson,0,4,44,3,1,0,2,0
Stephan Bonnar,1,1,30,13,0,1,0,1
Alan Belcher,0,0,57,40,0,0,0,1
Yushin Okami,6,0,41,25,1,0,1,0
Demian Maia,2,0,3,2,1,0,2,0
Joshua Burkman,0,0,44,65,2,0,3,0
Matt Grice,9,1,44,10,0,7,3,0
Rashad Evans,4,0,23,40,0,0,6,2
Thiago Silva,2,0,22,2,0,0,1,1
Karo Parisyan,4,0,49,35,0,0,7,0
Roger Huerta,1,7,31,47,3,1,0,6
Ed Herman,4,1,43,9,0,3,2,1
Frankie Edgar,10,0,42,6,0,0,8,0
Thiago Alves,0,0,39,42,0,0,0,1
Mac Danzig,2,0,10,4,1,0,1,0
Jon Koppenhaver,1,3,29,40,0,1,1,2
George Sotiropoulos,1,0,2,0,1,0,0,0
Joe Lauzon,3,0,5,1,1,0,1,0
Marcus Aurelio,1,0,20,6,0,0,1,0
Akihiro Gono,3,0,27,31,1,0,1,0
Ben Saunders,2,0,18,12,4,0,0,1
Troy Mandaloniz,0,1,30,20,0,0,0,1
Matt Arroyo,0,0,4,1,5,0,0,0
Roman Mitichyan,0,0,0,0,1,0,1,0
Jonathan Goulet,5,0,11,12,1,0,3,0
Georges St-Pierre,11,0,28,5,3,0,3,0
Chuck Liddell,0,0,58,44,0,0,2,0
Eddie Sanchez,0,0,52,21,0,0,1,1
Lyoto Machida,5,0,21,6,5,2,0,2
Rich Clementi,3,0,6,5,2,0,2,1
James Irvin,0,0,5,9,0,0,0,1
Manvel Gamburyan,0,0,3,2,1,0,1,0
Dean Lister,2,0,31,20,0,0,2,0
Roan Carneiro,2,1,24,9,2,1,3,0
Mark Bocek,7,0,26,22,0,1,7,1
BJ Penn,7,0,23,6,3,0,3,0
Nate Diaz,0,1,2,16,1,1,0,1
Thales Leites,4,0,6,3,1,0,2,0
Kenny Florian,3,1,35,5,0,2,2,2
Gray Maynard,3,1,19,26,0,0,9,1
Thiago Alves,0,1,17,10,0,0,0,1
Matt Hamill,1,0,31,18,0,0,1,0
Roger Huerta,4,2,34,20,0,0,0,4
Joe Lauzon,9,1,4,6,6,0,3,0
Cole Miller,0,0,12,4,0,0,0,0
Gray Maynard,6,0,20,3,1,1,2,1
Nate Diaz,0,5,6,20,1,0,1,3
James Irvin,0,0,3,0,0,0,0,0
Josh Neer,0,1,80,20,0,0,3,2
Marcus Aurelio,0,0,6,0,1,0,0,0
Manvel Gamburyan,0,0,3,2,1,0,1,0
BJ Penn,5,0,41,17,1,0,0,0
Fabricio Werdum,1,1,46,19,0,0,0,3
Marcus Davis,0,0,5,4,0,0,0,0
Leonard Garcia,4,1,4,4,1,1,0,2
Matt Wiman,2,0,21,1,0,0,1,0
Clay Guida,2,0,11,4,0,0,1,0
George Sotiropoulos,5,0,21,2,3,0,3,0
Anthony Johnson,0,0,15,0,0,0,0,0
Wilson Gouveia,0,2,5,27,4,0,0,1
Jorge Rivera,1,0,28,0,0,0,1,0
Antoni Hardonk,0,0,5,0,0,0,0,0
Paul Kelly,4,1,70,43,0,3,3,1
Alessio Sakara,0,0,8,0,0,0,0,2
Sam Stout,0,0,33,20,0,1,0,2
Georges St-Pierre,11,0,42,3,0,0,4,0
Rich Franklin,0,3,28,1,0,1,0,1
Nate Quarry,0,0,84,12,0,0,0,1
Michael Bisping,0,1,39,1,0,1,0,1
Mac Danzig,5,1,46,22,2,0,1,3
Jason MacDonald,1,2,13,4,2,3,1,1
Jason Day,0,1,29,3,0,0,0,1
Demian Maia,3,0,15,15,3,0,1,1
Rich Clementi,6,0,40,48,3,0,3,0
Cain Velasquez,3,0,36,1,0,0,0,0
Jonathan Goulet,0,2,31,21,0,0,0,1
BJ Penn,0,0,122,46,0,0,0,0
Wanderlei Silva,0,0,11,1,0,0,0,0
Goran Reljic,0,0,33,33,0,0,0,0
Lyoto Machida,1,0,41,16,0,2,1,0
Thiago Silva,2,0,19,5,1,0,0,1
Rousimar Palhares,3,0,0,1,3,0,1,0
Rameau Thierry Sokoudjou,0,0,26,6,0,0,0,0
Rich Clementi,5,0,20,23,0,1,4,0
Yoshiyuki Yoshida,1,0,1,1,1,0,1,0
Dong Hyun Kim,10,0,77,2,0,0,3,0
Shane Carwin,0,0,5,2,0,0,0,0
Forrest Griffin,3,0,77,50,3,0,0,0
Patrick Cote,0,3,24,26,0,2,0,2
Joe Stevenson,0,2,12,4,2,1,1,5
Josh Koscheck,3,0,38,16,0,5,2,0
Tyson Griffin,0,0,92,20,0,1,3,0
Gabriel Gonzaga,2,0,6,2,1,0,1,0
Cole Miller,2,1,41,54,2,0,1,3
Melvin Guillard,0,0,10,0,0,0,0,0
Justin Buchholz,1,1,24,34,1,0,0,2
Thiago Alves,1,3,10,9,0,0,1,1
Michael Bisping,3,0,25,7,0,0,2,0
Mike Swick,7,0,32,31,1,2,2,3
Thales Leites,4,1,13,35,2,0,0,5
Kendall Grove,1,1,59,27,1,0,0,3
Amir Sadollah,0,1,2,6,2,0,0,1
Fabricio Werdum,3,0,15,15,0,0,2,0
Martin Kampmann,2,0,4,2,2,1,1,0
Matt Wiman,0,0,18,13,1,3,2,1
Diego Sanchez,1,0,51,27,1,1,0,1
Spencer Fisher,9,0,56,23,0,3,1,2
Matthew Riddle,4,0,60,34,2,0,5,0
Kevin Burns,0,4,8,12,1,0,0,2
Luiz Cane,0,0,15,8,0,0,0,0
Paul Taylor,1,1,45,35,0,1,1,7
Dustin Hazelett,0,1,13,34,3,0,1,1
Drew McFedries,0,0,19,3,0,0,1,1
Matt Brown,0,0,32,26,1,0,0,2
Anderson Silva,0,0,13,0,0,0,0,0
Antoni Hardonk,0,3,48,33,0,0,0,2
Dean Lister,0,1,6,2,1,0,1,0
Rob Kimmons,1,0,9,5,4,0,1,1
Brandon Vera,2,0,38,30,0,0,2,1
Frankie Edgar,0,0,69,18,0,1,10,0
Cain Velasquez,1,0,24,1,0,0,1,0
Kevin Burns,0,0,37,51,0,0,0,5
CB Dollaway,1,0,4,4,2,0,0,1
Tim Credeur,0,0,19,6,0,0,0,0
Rory Markham,0,0,6,18,0,0,0,0
Nate Loughran,0,0,1,7,2,0,0,0
Brad Blackburn,0,0,53,9,0,0,0,0
Shannon Gugerty,3,0,3,1,2,2,1,0
Georges St-Pierre,7,0,131,37,1,0,7,0
Brock Lesnar,6,0,45,9,1,0,5,0
Rob Emerson,0,0,3,0,0,0,0,0
Kenny Florian,4,0,51,33,0,0,5,0
Demian Maia,8,2,30,7,3,4,2,0
Tamdan McCrory,9,1,26,11,7,1,4,1
Cheick Kongo,1,0,23,2,0,2,2,0
Jon Jones,2,0,42,34,0,0,2,0
Chris Wilson,3,0,47,5,2,0,2,1
Ben Saunders,2,0,41,12,2,2,1,0
Rashad Evans,0,0,13,10,0,0,0,0
Rich Franklin,0,0,71,13,0,0,0,1
Dan Henderson,0,1,42,27,0,1,0,2
Nate Marquardt,0,0,22,1,0,0,0,0
Dong Hyun Kim,5,1,12,48,1,2,3,1
Kurt Pellegrino,5,0,61,18,1,0,1,1
Tim Boetsch,0,0,15,9,0,0,0,0
Jason MacDonald,4,0,10,1,1,2,2,0
Ryo Chonan,0,4,23,18,0,1,0,2
Anderson Silva,0,0,29,16,0,0,1,0
Nate Diaz,5,2,40,26,0,4,5,4
Thiago Alves,0,0,80,39,0,0,0,0
Gray Maynard,7,0,22,7,2,0,5,0
Junior Dos Santos,0,0,7,6,0,0,0,0
Clay Guida,3,0,43,36,0,0,10,1
Alan Belcher,0,6,54,43,0,2,0,5
Eric Schafer,2,0,24,12,2,0,1,0
Sean Sherk,2,0,92,74,0,0,3,0
Thales Leites,1,0,0,1,1,0,1,0
Spencer Fisher,0,0,30,28,2,1,0,2
Michael Bisping,0,0,70,51,0,0,1,1
Alessio Sakara,0,0,7,7,0,0,0,0
Wilson Gouveia,1,1,8,30,2,0,1,2
Joe Lauzon,3,0,23,18,2,0,1,0
Brock Lesnar,2,0,31,11,0,0,2,1
Kenny Florian,4,0,17,6,1,0,1,1
Dan Miller,1,2,31,15,0,5,6,0
Hermes Franca,0,1,60,40,0,0,0,1
Pete Sell,1,1,65,50,1,0,1,4
Keith Jardine,0,0,50,48,0,0,2,1
Luiz Cane,0,0,41,28,0,0,0,0
Chris Lytle,1,0,102,85,0,0,2,0
Jason Brilz,7,0,34,4,1,0,1,0
Mike Massenzio,2,0,0,3,1,1,1,0
Dan Miller,0,0,0,0,2,0,0,0
Dustin Hazelett,0,0,10,15,3,0,0,0
Gabriel Gonzaga,0,0,12,1,0,0,0,0
Marcus Davis,2,0,25,3,1,1,1,1
Dan Hardy,0,1,57,56,0,0,0,3
Shane Carwin,3,0,13,4,0,0,1,0
David Bielkheden,2,1,36,12,0,2,7,1
Terry Etim,0,0,69,55,0,0,0,1
Josh Koscheck,0,0,6,6,0,0,0,0
Mike Swick,0,0,7,1,0,0,0,0
Steve Cantwell,2,0,15,13,1,0,1,0
Tim Credeur,2,0,52,25,0,0,1,0
Jim Miller,3,0,61,20,2,0,4,1
Demian Maia,3,0,2,0,1,0,1,0
Aaron Riley,0,0,98,70,0,0,1,1
Jeremy Stephens,0,3,22,9,0,2,0,4
Mark Bocek,12,0,21,5,6,0,1,0
Matt Brown,0,2,15,15,3,0,1,5
Jim Miller,14,0,15,7,5,1,5,0
Per Eklund,3,0,31,23,5,1,1,1
Luigi Fioravanti,10,0,30,10,5,1,8,1
Steve Bruno,3,1,10,36,1,0,3,1
Ben Saunders,0,0,42,0,0,0,0,0
Dale Hartt,0,2,8,8,0,0,0,2
Justin McCully,0,1,40,42,0,0,1,0
Rashad Evans,1,0,49,50,0,0,1,0
Frank Mir,0,0,37,10,0,0,1,0
CB Dollaway,2,0,9,3,0,2,1,0
Rampage Jackson,0,0,11,7,0,0,0,0
Cheick Kongo,0,0,34,4,0,0,1,0
Yushin Okami,0,0,39,6,0,0,0,0
Antoni Hardonk,1,3,46,13,2,0,0,3
Matt Hamill,1,0,40,34,0,0,1,0
Brad Blackburn,0,0,79,63,0,0,0,0
Dan Henderson,2,0,36,39,0,0,4,0
Mauricio Rua,1,1,62,31,2,0,1,7
Rousimar Palhares,9,2,18,7,0,1,7,1
Alan Belcher,0,5,9,26,1,1,0,3
Efrain Escudero,5,1,27,20,0,2,7,0
Ryan Bader,0,0,15,4,0,0,0,0
Anthony Johnson,2,0,35,17,0,2,3,0
Wilson Gouveia,1,0,18,6,0,0,0,1
Pat Barry,0,0,6,0,0,0,0,0
Marcus Davis,0,0,59,73,0,0,0,0
John Hathaway,3,0,18,0,0,0,5,0
Martin Kampmann,3,1,33,8,2,0,0,1
Eric Schafer,3,0,22,3,0,0,0,0
Tomasz Drwal,0,0,14,3,0,0,1,0
Dennis Siver,0,1,48,48,0,0,0,1
Junie Browning,6,0,31,12,2,1,2,2
Krzysztof Soszynski,4,0,19,7,1,0,0,1
Eliot Marshall,3,0,8,1,2,0,1,0
Tom Lawlor,2,0,14,10,0,0,7,0
Shane Nelson,4,1,10,21,2,0,3,1
Rolando Delgado,4,0,15,1,3,1,1,0
Georges St-Pierre,10,0,92,16,0,0,4,0
Lyoto Machida,1,0,24,2,0,0,2,0
Jon Jones,4,0,45,37,0,0,7,0
Karo Parisyan,1,2,24,19,1,2,2,2
Clay Guida,2,0,49,49,1,0,4,0
Jon Fitch,4,0,40,7,2,0,4,0
Thiago Tavares,0,0,27,26,0,1,3,1
John Howard,3,0,21,45,2,2,7,2
Jake O'Brien,0,0,25,46,0,0,9,0
Dan Cramer,0,2,24,16,0,5,0,2
Joe Lauzon,9,1,11,15,4,0,2,1
Cain Velasquez,1,0,88,7,0,1,1,0
Josh Neer,1,1,46,33,3,0,0,0
Anthony Johnson,0,0,21,12,0,0,0,0
Kurt Pellegrino,3,0,16,21,1,0,1,2
Dan Miller,0,0,2,2,2,0,0,1
Matt Veach,0,2,12,29,0,1,1,0
Gleison Tibau,5,0,7,1,1,0,2,0
Nick Catone,4,0,21,2,2,0,4,1
Matthew Riddle,7,0,48,22,0,0,4,1
Diego Sanchez,1,0,91,41,1,1,1,0
Dan Hardy,0,0,5,2,0,0,0,0
Nate Marquardt,1,0,67,16,1,1,2,0
Martin Kampmann,3,4,26,35,6,3,5,3
Rampage Jackson,1,0,56,64,0,0,2,0
Shane Carwin,0,1,4,5,0,0,0,1
Demian Maia,1,0,6,8,1,0,1,0
Paulo Thiago,0,0,7,8,0,0,0,0
Terry Etim,0,0,19,0,0,0,1,2
Ryan Bader,10,0,24,9,2,0,5,0
Tyson Griffin,0,0,69,26,0,3,1,0
Cole Miller,0,1,3,1,1,0,0,0
Matt Brown,0,0,24,0,0,0,0,0
Matt Hamill,0,0,23,14,0,0,0,0
Gray Maynard,0,0,37,25,0,1,1,0
Junior Dos Santos,0,0,12,0,0,0,0,0
Evan Dunham,0,0,13,9,1,1,0,1
Mike Ciesnolevicz,0,1,0,0,2,1,0,0
Paul Kelly,0,5,71,38,0,0,2,4
Gleison Tibau,9,0,7,23,3,0,5,0
Ricardo Almeida,3,0,41,25,1,3,9,0
Brock Larson,2,0,13,0,1,0,1,0
Tamdan McCrory,5,0,12,0,0,0,1,0
Kendall Grove,0,0,10,6,0,0,0,0
Jason Brilz,6,0,34,27,1,0,4,0
Lyoto Machida,0,0,28,4,0,0,0,0
Matt Hughes,4,1,34,14,0,0,3,1
Tim Credeur,0,3,9,19,7,0,0,3
Jorge Rivera,1,2,29,35,0,1,4,1
Rob Kimmons,0,0,7,4,2,0,0,1
Brandon Vera,0,0,32,5,0,0,0,0
Shane Nelson,0,0,5,4,0,0,0,0
Drew McFedries,0,0,8,0,0,0,0,0
Chael Sonnen,2,0,36,9,0,2,3,0
Frankie Edgar,0,0,74,27,1,0,1,1
Brock Larson,2,0,4,1,1,0,1,0
Aaron Simpson,0,0,16,1,0,0,1,0
Tim Hague,1,0,0,3,1,0,1,0
Kyle Bradley,0,0,7,3,0,0,1,0
Krzysztof Soszynski,0,0,18,17,0,0,0,0
Yoshiyuki Yoshida,1,0,4,2,1,0,0,0
George Roop,0,2,62,50,0,0,0,5
Anderson Silva,0,1,94,10,0,0,0,1
Sam Stout,1,1,62,46,0,2,0,4
Mauricio Rua,0,0,24,8,0,0,0,1
Krzysztof Soszynski,4,0,3,8,2,0,2,0
Cheick Kongo,0,0,53,9,0,0,2,0
Luiz Cane,0,0,87,69,0,0,0,0
Denis Kang,7,0,31,23,1,0,5,0
Nate Quarry,1,0,16,1,0,0,1,0
Ed Herman,9,0,71,6,0,0,5,0
Mark Bocek,6,0,20,4,1,0,1,0
TJ Grant,7,0,34,31,0,0,3,2
Eliot Marshall,0,3,44,34,0,0,0,2
Rich Franklin,2,0,52,38,0,0,1,1
Cain Velasquez,11,0,29,21,2,0,7,1
Mirko Cro Cop,0,0,16,7,0,0,1,0
Mike Swick,1,0,10,17,1,0,1,0
Diego Sanchez,1,0,68,29,3,0,1,2
