event_date,fighter1,fighter2,pass_stat_f1,pass_stat_f2,str_stat_f1,str_stat_f2,sub_stat_f1,sub_stat_f2,td_stat_f1,td_stat_f2,winner
October 06 2018,Nik Lentz,Gray Maynard,3,0,75,13,1,0,2,0,Nik Lentz
October 06 2018,Anthony Rocco Martin,Ryan LaFlare,4,0,36,35,1,0,0,0,Anthony Rocco Martin
November 17 2018,Santiago Ponzinibbio,Neil Magny,0,0,79,72,0,0,0,0,Santiago Ponzinibbio
November 17 2018,Ricardo Lamas,Darren Elkins,1,2,70,62,0,0,3,3,Ricardo Lamas
November 17 2018,Johnny Walker,Khalil Rountree Jr.,0,0,10,4,0,0,0,0,Johnny Walker
November 24 2018,Francis Ngannou,Curtis Blaydes,0,0,13,1,0,0,0,0,Francis Ngannou
November 17 2018,Ian Heinisch,Cezar Ferreira,1,1,55,26,2,0,1,5,Ian Heinisch
November 17 2018,Marlon Vera,Guido Cannetti,1,1,24,24,2,0,2,2,Marlon Vera
November 17 2018,Cynthia Calvillo,Poliana Botelho,2,0,22,6,1,0,2,0,Cynthia Calvillo
November 17 2018,Michel Prazeres,Bartosz Fabinski,3,0,18,1,1,0,1,0,Michel Prazeres
November 17 2018,Alexandre Pantoja,Ulka Sasaki,1,0,4,7,2,0,0,0,Alexandre Pantoja
November 24 2018,Alistair Overeem,Sergei Pavlovich,0,0,22,13,0,0,1,0,Alistair Overeem
November 24 2018,Song Yadong,Vince Morales,2,0,79,74,0,0,2,0,Song Yadong
November 24 2018,Jingliang Li,David Zawada,2,1,89,73,0,0,1,0,Jingliang Li
November 24 2018,Alex Morono,Kenan Song,0,0,98,61,0,0,0,0,Alex Morono
November 24 2018,Yanan Wu,Lauren Mueller,0,0,18,17,1,0,0,0,Yanan Wu
November 24 2018,Rashad Coulter,Hu Yaozong,0,0,98,92,0,0,0,0,Rashad Coulter
November 24 2018,Weili Zhang,Jessica Aguilar,2,0,45,9,2,0,1,0,Weili Zhang
November 17 2018,Austin Arnett,Humberto Bandenay,1,0,74,30,0,0,1,2,Austin Arnett
November 17 2018,Laureano Staropoli,Hector Aldana,0,0,97,69,0,0,0,0,Laureano Staropoli
November 17 2018,Jesus Pinedo,Devin Powell,0,0,60,58,0,0,5,0,Jesus Pinedo
November 17 2018,Nad Narimani,Anderson Dos Santos,2,0,84,46,0,1,1,0,Nad Narimani
November 30 2018,Kamaru Usman,Rafael Dos Anjos,7,0,130,62,0,2,12,0,Kamaru Usman
November 30 2018,Juan Espino,Justin Frazier,4,0,22,4,2,0,2,0,Juan Espino
November 30 2018,Macy Chiasson,Pannie Kianzad,2,0,24,19,2,1,0,0,Macy Chiasson
November 30 2018,Pedro Munhoz,Bryan Caraway,0,0,35,20,0,0,0,0,Pedro Munhoz
November 30 2018,Edmen Shahbazyan,Darren Stewart,3,0,22,34,0,0,8,1,Edmen Shahbazyan
November 30 2018,Antonina Shevchenko,Ji Yeon Kim,1,0,66,33,0,0,2,0,Antonina Shevchenko
November 30 2018,Kevin Aguilar,Rick Glenn,2,0,86,74,0,0,0,0,Kevin Aguilar
November 24 2018,Liu Pingyuan,Martin Day,2,0,55,100,2,2,0,1,Liu Pingyuan
November 24 2018,Xiaonan Yan,Syuri Kondo,0,0,150,86,0,0,0,0,Xiaonan Yan
November 24 2018,Kevin Holland,John Phillips,8,0,123,51,2,0,5,0,Kevin Holland
November 24 2018,Louis Smolka,Su Mudaerji,3,0,32,18,1,2,2,0,Louis Smolka
November 30 2018,Joseph Benavidez,Alex Perez,0,0,35,14,0,0,1,1,Joseph Benavidez
November 30 2018,Maurice Greene,Michel Batista,0,0,9,0,1,0,0,1,Maurice Greene
November 30 2018,Leah Letson,Julija Stoliarenko,0,0,73,57,0,1,0,0,Leah Letson
November 30 2018,Roosevelt Roberts,Darrell Horcher,0,0,16,10,1,0,0,0,Roosevelt Roberts
November 30 2018,Tim Means,Ricky Rainey,0,0,19,6,0,0,2,0,Tim Means
November 30 2018,Raoni Barcelos,Chris Gutierrez,3,0,35,26,1,0,2,0,Raoni Barcelos
March 11 1994,Royce Gracie,Patrick Smith,2,0,4,1,0,0,1,0,Royce Gracie
March 11 1994,Royce Gracie,Remco Pardoel,1,0,0,0,1,0,1,0,Royce Gracie
March 11 1994,Patrick Smith,Johnny Rhodes,0,0,5,4,1,0,0,0,Patrick Smith
March 11 1994,Royce Gracie,Jason DeLucia,1,0,0,0,1,0,0,1,Royce Gracie
March 11 1994,Remco Pardoel,Orlando Wiet,1,0,7,1,0,0,1,0,Remco Pardoel
March 11 1994,Johnny Rhodes,Fred Ettish,1,0,13,4,1,0,0,0,Johnny Rhodes
March 11 1994,Patrick Smith,Scott Morris,1,0,13,0,0,0,0,0,Patrick Smith
